Question Type,Technology,Difficulty,Question 
True/False,TypeScript,Hard,TypeScript is a superset of JavaScript.
True/False,JavaScript,Beginner,JavaScript is a statically typed language.
MCQs,C++,Intermediate,Which operator is used to allocate memory dynamically in C++?
Essay,Angular,Hard,Discuss the advantages of using Angular for front-end development.
Essay,TypeScript,Intermediate,Discuss the benefits of using TypeScript in large-scale applications.
Coding,TypeScript,Hard,Create a TypeScript function that checks if a string is a palindrome.
Essay,C++,Beginner,Explain the differences between stack and heap memory in C++.
Essay,C++,Intermediate,Explain the differences between stack and heap memory in C++.
MCQs,JavaScript,Hard,What is 'this' keyword in JavaScript?
Coding,Node.js,Beginner,Write a Node.js script to read a file and log its contents.
True/False,TypeScript,Beginner,TypeScript is a superset of JavaScript.
True/False,Java,Beginner,"In Java, strings are mutable."
Coding,Go,Hard,Write a Go program to handle concurrent tasks using Goroutines.
Coding,JavaScript,Intermediate,Write a function to reverse a string in JavaScript.
Essay,Angular,Beginner,Discuss the advantages of using Angular for front-end development.
MCQs,Angular,Intermediate,What is the role of decorators in Angular?
Coding,Python,Hard,Write a Python function to find the factorial of a number.
Essay,Python,Hard,Discuss the importance of Python's standard library in development.
Coding,Java,Beginner,Write a Java program to check if a number is prime.
Coding,Ruby,Beginner,Write a Ruby method to calculate the Fibonacci sequence.
True/False,React,Hard,React uses a virtual DOM to improve performance.
True/False,TypeScript,Intermediate,TypeScript is a superset of JavaScript.
True/False,Java,Intermediate,"In Java, strings are mutable."
True/False,Angular,Intermediate,Angular is primarily used for backend development.
MCQs,TypeScript,Intermediate,How is TypeScript different from JavaScript?
True/False,Angular,Beginner,Angular is primarily used for backend development.
MCQs,Python,Beginner,Which of the following is the correct way to define a function in Python?
True/False,Python,Hard,Python supports multiple inheritance.
Essay,Node.js,Beginner,Explain how Node.js handles asynchronous operations.
Coding,Go,Intermediate,Write a Go program to handle concurrent tasks using Goroutines.
Essay,Java,Intermediate,Discuss the advantages and disadvantages of using Java in enterprise applications.
MCQs,Ruby,Intermediate,What is a block in Ruby?
True/False,Node.js,Hard,"Node.js uses an event-driven, non-blocking I/O model."
Essay,Java,Beginner,Discuss the advantages and disadvantages of using Java in enterprise applications.
Coding,TypeScript,Intermediate,Create a TypeScript function that checks if a string is a palindrome.
Coding,React,Beginner,Build a React component that displays a list of items.
Coding,Ruby,Beginner,Write a Ruby method to calculate the Fibonacci sequence.
Coding,React,Hard,Build a React component that displays a list of items.
Coding,C++,Intermediate,Implement a C++ function to sort an array using the bubble sort algorithm.
Coding,Ruby,Intermediate,Write a Ruby method to calculate the Fibonacci sequence.
MCQs,Ruby,Intermediate,What is a block in Ruby?
Essay,Python,Beginner,Discuss the importance of Python's standard library in development.
MCQs,C++,Beginner,Which operator is used to allocate memory dynamically in C++?
Essay,Angular,Intermediate,Discuss the advantages of using Angular for front-end development.
True/False,React,Hard,React uses a virtual DOM to improve performance.
MCQs,Java,Intermediate,What is the purpose of the 'final' keyword in Java?
MCQs,Node.js,Hard,Which module in Node.js is used to handle file operations?
Coding,JavaScript,Intermediate,Write a function to reverse a string in JavaScript.
Essay,React,Beginner,Explain how React's component lifecycle works and its significance.
Essay,Node.js,Beginner,Explain how Node.js handles asynchronous operations.
MCQs,Ruby,Hard,What is a block in Ruby?
MCQs,C++,Intermediate,Which operator is used to allocate memory dynamically in C++?
True/False,Ruby,Hard,Ruby is known for its performance in highly concurrent systems.
Essay,Java,Intermediate,Discuss the advantages and disadvantages of using Java in enterprise applications.
MCQs,JavaScript,Intermediate,What is 'this' keyword in JavaScript?
MCQs,Ruby,Intermediate,What is a block in Ruby?
True/False,Angular,Hard,Angular is primarily used for backend development.
MCQs,JavaScript,Hard,What is 'this' keyword in JavaScript?
Coding,Angular,Hard,Create a simple Angular form with validation.
Essay,C++,Beginner,Explain the differences between stack and heap memory in C++.
True/False,Angular,Beginner,Angular is primarily used for backend development.
Essay,JavaScript,Hard,Explain the concept of closures in JavaScript and their use cases.
True/False,JavaScript,Beginner,JavaScript is a statically typed language.
Coding,Go,Hard,Write a Go program to handle concurrent tasks using Goroutines.
MCQs,Angular,Hard,What is the role of decorators in Angular?
Essay,Angular,Beginner,Discuss the advantages of using Angular for front-end development.
MCQs,React,Intermediate,Which hook is used to manage state in functional components?
Essay,Node.js,Intermediate,Explain how Node.js handles asynchronous operations.
Coding,JavaScript,Beginner,Write a function to reverse a string in JavaScript.
Essay,Ruby,Intermediate,Discuss the pros and cons of using Ruby on Rails for web development.
Coding,Angular,Hard,Create a simple Angular form with validation.
MCQs,C++,Hard,Which operator is used to allocate memory dynamically in C++?
Coding,C++,Hard,Implement a C++ function to sort an array using the bubble sort algorithm.
Coding,Python,Beginner,Write a Python function to find the factorial of a number.
Coding,Ruby,Beginner,Write a Ruby method to calculate the Fibonacci sequence.
Essay,Ruby,Hard,Discuss the pros and cons of using Ruby on Rails for web development.
MCQs,Angular,Beginner,What is the role of decorators in Angular?
True/False,Java,Beginner,"In Java, strings are mutable."
Essay,Angular,Intermediate,Discuss the advantages of using Angular for front-end development.
Essay,JavaScript,Hard,Explain the concept of closures in JavaScript and their use cases.
MCQs,Go,Hard,What is the purpose of Goroutines in Go?
MCQs,Ruby,Beginner,What is a block in Ruby?
Essay,Angular,Beginner,Discuss the advantages of using Angular for front-end development.
Coding,C++,Beginner,Implement a C++ function to sort an array using the bubble sort algorithm.
MCQs,Angular,Intermediate,What is the role of decorators in Angular?
True/False,Go,Hard,Go was developed by Google.
Essay,Node.js,Intermediate,Explain how Node.js handles asynchronous operations.
True/False,TypeScript,Hard,TypeScript is a superset of JavaScript.
True/False,Angular,Beginner,Angular is primarily used for backend development.
Essay,Node.js,Intermediate,Explain how Node.js handles asynchronous operations.
Coding,Node.js,Hard,Write a Node.js script to read a file and log its contents.
Essay,Go,Intermediate,Explain the concept of concurrency in Go and how it differs from parallelism.
True/False,Node.js,Intermediate,"Node.js uses an event-driven, non-blocking I/O model."
Coding,C++,Hard,Implement a C++ function to sort an array using the bubble sort algorithm.
Essay,Python,Hard,Discuss the importance of Python's standard library in development.
Essay,Go,Hard,Explain the concept of concurrency in Go and how it differs from parallelism.
MCQs,Python,Beginner,Which of the following is the correct way to define a function in Python?
Essay,JavaScript,Beginner,Explain the concept of closures in JavaScript and their use cases.
True/False,TypeScript,Beginner,TypeScript is a superset of JavaScript.
Coding,Python,Hard,Write a Python function to find the factorial of a number.
Coding,Go,Beginner,Write a Go program to handle concurrent tasks using Goroutines.
MCQs,Go,Beginner,What is the purpose of Goroutines in Go?
Essay,Python,Hard,Discuss the importance of Python's standard library in development.
Essay,TypeScript,Hard,Discuss the benefits of using TypeScript in large-scale applications.
Coding,JavaScript,Intermediate,Write a function to reverse a string in JavaScript.
True/False,Node.js,Intermediate,"Node.js uses an event-driven, non-blocking I/O model."
Coding,Node.js,Intermediate,Write a Node.js script to read a file and log its contents.
True/False,Java,Beginner,"In Java, strings are mutable."
Coding,Ruby,Intermediate,Write a Ruby method to calculate the Fibonacci sequence.
Coding,C++,Beginner,Implement a C++ function to sort an array using the bubble sort algorithm.
MCQs,Node.js,Intermediate,Which module in Node.js is used to handle file operations?
Coding,React,Beginner,Build a React component that displays a list of items.
Coding,TypeScript,Intermediate,Create a TypeScript function that checks if a string is a palindrome.
MCQs,JavaScript,Hard,What is 'this' keyword in JavaScript?
True/False,Java,Intermediate,"In Java, strings are mutable."
MCQs,Java,Beginner,What is the purpose of the 'final' keyword in Java?
Coding,Node.js,Hard,Write a Node.js script to read a file and log its contents.
Coding,Node.js,Hard,Write a Node.js script to read a file and log its contents.
Coding,TypeScript,Intermediate,Create a TypeScript function that checks if a string is a palindrome.
Coding,Go,Hard,Write a Go program to handle concurrent tasks using Goroutines.
True/False,TypeScript,Intermediate,TypeScript is a superset of JavaScript.
Essay,TypeScript,Intermediate,Discuss the benefits of using TypeScript in large-scale applications.
True/False,C++,Intermediate,C++ allows function overloading.
Essay,JavaScript,Beginner,Explain the concept of closures in JavaScript and their use cases.
Essay,Python,Hard,Discuss the importance of Python's standard library in development.
MCQs,Ruby,Hard,What is a block in Ruby?
Essay,Go,Beginner,Explain the concept of concurrency in Go and how it differs from parallelism.
